Lp.;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo
49;UL. DŁUGA 43;05-510;KONSTANCIN-JEZIORNA;bd
50;UL. FLORIAŃSKA 14/49;03-707;WARSZAWA;bd
51;UL. GENERAŁA ZAJĄCZKA 8/98;01-522;WARSZAWA;bd
52;UL. KREDYTOWA 4;00-062;WARSZAWA;bd
53;UL. MŁYNARSKA 54/56/58;01-171;WARSZAWA;bd
54;UL. KOPERNIKA 1;11-700;MRĄGOWO;bd
55;UL. KRÓLEWIECKA 60A;11-700;MRĄGOWO;bd
56;UL. MŁODKOWSKIEGO 19;11-700;MRĄGOWO;bd
57;UL. MRONGOWIUSZA 13B;11-700;MRĄGOWO;bd
58;UL. MRONGOWIUSZA 13C;11-700;MRĄGOWO;bd
59;UL. MRONGOWIUSZA 65;11-700;MRĄGOWO;bd
60;UL. MRONGOWIUSZA 65B;11-700;MRĄGOWO;bd
61;UL. MRONGOWIUSZA 65B;11-700;MRĄGOWO;bd
62;UL. NADBRZEŻNA 13;11-700;MRĄGOWO;bd
63;UL. NADBRZEŻNA 4;11-700;MRĄGOWO;bd
64;UL. NOWOGRÓDZKA 1;11-700;MRĄGOWO;bd
65;UL. SOBCZYŃSKIEGO 1A;11-700;MRĄGOWO;bd
66;UL. WARSZAWSKA 53;11-700;MRĄGOWO;bd
67;BIAŁOBRZEGI 75;16-300;AUGUSTÓW;bd
68;JABŁOŃSKIE 25;16-300;AUGUSTÓW;bd
69;JANÓWKA 48A;16-300;AUGUSTÓW;bd
70;KOLNICA 48;16-300;AUGUSTÓW;bd
71;NETTA PIERWSZA 14;16-320;BARGŁÓW KOŚCIELNY;bd
72;RUTKI NOWE 1;16-300;AUGUSTÓW;bd
73;ŻARNOWO DRUGIE 1;16-300;AUGUSTÓW;bd
74;ŻARNOWO DRUGIE 16;16-300;AUGUSTÓW;bd
75;UL. MAZURSKA 1 C;16-300;AUGUSTÓW;bd
76;UL. MAZURSKA 1 C;16-300;AUGUSTÓW;bd
77;UL. MAZURSKA 1 C;16-300;AUGUSTÓW;bd
78;UL. MAZURSKA 1 C;16-300;AUGUSTÓW;bd
79;JANÓWKA 48A;16-300;AUGUSTÓW;bd
80;UL. JANÓWKA 45;16-300;JANÓWKA;bd
81;UL. ANTONIEWO 11;62-085;SKOKI;bd
82;UL. GNIEŹNIEŃSKA 53;62-100;WĄGROWIEC;bd
83;UL. KCYŃSKA 48;62-100;WĄGROWIEC;bd
84;UL. KLASZTORNA 17A;62-100;WĄGROWIEC;bd
85;UL. KOLEJOWA 22;62-100;WĄGROWIEC;bd
86;UL. KOŚCIUSZKI 15;62-100;WĄGROWIEC;bd
87;UL. KOŚCIUSZKI 49;62-100;WĄGROWIEC;bd
88;UL. SREBRNA GÓRA 62;62-120;WAPNO;bd
89;UL. WALKI MŁODYCH 35;62-130;GOŁAŃCZ;bd
90;UL. WIERZBOWA 1;62-100;WĄGROWIEC;bd
91;UL. ANTONIEWO 11;62-085;SKOKI;bd
92;UL. GNIEŹNIEŃSKA 53;62-100;WĄGROWIEC;bd
93;UL. KCYŃSKA 48;62-100;WĄGROWIEC;bd
94;UL. KLASZTORNA 17A;62-100;WĄGROWIEC;bd
95;UL. KOLEJOWA 22;62-100;WĄGROWIEC;bd
96;UL. KOŚCIUSZKI 15;62-100;WĄGROWIEC;bd
97;UL. KOŚCIUSZKI 49;62-100;WĄGROWIEC;bd
98;UL. SREBRNA GÓRA 62;62-120;WAPNO;bd
99;UL. WALKI MŁODYCH 35;62-130;GOŁAŃCZ;bd
100;UL. WIERZBOWA 1;62-100;WĄGROWIEC;bd
101;STRZYŻEWICE 109;23-107;STRZYŻEWICE;bd
102;UL. BYSTRZYCA STARA 89;23-107;STRZYŻEWICE;bd
103;UL. KIEŁCZEWICE GÓRNE 41;23-107;STRZYŻEWICE;bd
104;UL. OSMOLICE PIERWSZE 160;23-107;STRZYŻEWICE;bd
105;UL. PIOTROWICE 94A;23-107;STRZYŻEWICE;bd
106;UL. PIOTROWICE 94A;23-107;STRZYŻEWICE;bd
107;UL. STRZYŻEWICE 108;23-107;STRZYŻEWICE;bd
108;UL. STRZYŻEWICE 109;23-107;STRZYŻEWICE;bd
109;UL. STRZYŻEWICE 109;23-107;STRZYŻEWICE;bd
110;UL. STRZYŻEWICE 13;23-107;STRZYŻEWICE;bd
111;UL. ŻABIA WOLA 77;23-107;STRZYŻEWICE;bd
112;UL. KWIDZYŃSKA 2;82-550;PRABUTY;bd
113;UL. ŁAKOWA 24;82-550;PRABUTY;bd
114;UL. ŁAKOWA 42;82-550;PRABUTY;bd
115;UL. ŁĄKOWA 22;82-550;PRABUTY;bd
116;UL. OBROŃCÓW WESTERPLATTE 11;82-550;PRABUTY;bd
117;UL. OBRZYNOWO 37;82-550;PRABUTY;bd
118;UL. RODOWO 14;82-550;PRABUTY;bd
119;UL. TRUMIEJKI 42;82-550;PRABUTY;bd
120;CHEŁST 113;64-733;DRAWSKO;bd
121;PIŁKA 24;64-733;DRAWSKO;bd
122;UL. CHEŁST 113;64-733;DRAWSKO;bd
123;UL. NADNOTECKA 22B;64-733;DRAWSKO;bd
124;UL. NADNOTECKA 22B;64-733;DRAWSKO;bd
125;UL. PIŁKA 24;64-733;DRAWSKO;bd
126;UL. POWSTAŃCÓW WIELKOPOLSKICH 121;64-733;DRAWSKO;bd
127;UL. POWSTAŃCÓW WIELKOPOLSKICH 121;64-733;DRAWSKO;bd
128;UL. POWSTAŃCÓW WLKP 121A;64-733;DRAWSKO;bd
129;UL. POWSTAŃCÓW WLKP. 1;64-733;DRAWSKO;bd
130;UL. POWSTAŃCÓW WLKP. 140/1;64-733;DRAWSKO;bd
131;UL. 1 MAJA 25/23;99-320;ŻYCHLIN;bd
132;UL. 1 MAJA 36;99-320;ŻYCHLIN;bd
133;UL. ŁUKASIŃSKIEGO 21;99-320;ŻYCHLIN;bd
134;UL. ŁUKASIŃSKIEGO 21;99-320;ŻYCHLIN;bd
135;UL. ŁUKASIŃSKIEO 21;99-320;ŻYCHLIN;bd
136;UL. NORBERTA BARLICKIEGO 15;99-320;ŻYCHLIN;bd
137;UL. NORBERTA BARLICKIEGO 15;99-320;ŻYCHLIN;bd
138;UL. NORBERTA BARLICKIEGO 15 A;99-320;ŻYCHLIN;bd
139;UL. NORBERTA BARLICKIEGO 4;99-320;ŻYCHLIN;bd
140;UL. STEFANA ŻEROMSKIEGO 8;99-320;ŻYCHLIN;bd
141;UL. STEFANA ŻEROMSKIEGO 8;99-320;ŻYCHLIN;bd
142;UL. STEFANA ŻEROMSKIEGO 8;99-320;ŻYCHLIN;bd
143;UL. SZKOLNA 4;99-319;DOBRZELIN;bd
144;UL. 1 MAJA 25/23;99-320;ŻYCHLIN;bd
145;UL. ŁUKASIŃSKIEGO 21;99-320;ŻYCHLIN;bd
146;UL. NORBERTA BARLICKIEGO 4;99-320;ŻYCHLIN;bd
147;UL. CHRÓŚCIN 50;98-430;BOLESŁAWIEC;bd
148;UL. LUDWIKA WARYŃSKIEGO 11;98-400;WIERUSZÓW;bd
149;UL. LUDWIKA WARYŃSKIEGO 14;98-400;WIERUSZÓW;bd
150;UL. LUDWIKA WARYŃSKIEGO 14;98-400;WIERUSZÓW;bd
151;UL. LUDWIKA WARYŃSKIEGO 15;98-400;WIERUSZÓW;bd
152;UL. LUDWIKA WARYŃSKIEGO 15;98-400;WIERUSZÓW;bd
153;UL. MIKOŁAJA KOPERNIKA 2A;98-400;WIERUSZÓW;bd
154;UL. OSIEK 185C;98-405;GALEWICE;bd
155;UL. RYNEK 1/7;98-400;WIERUSZÓW;bd
156;UL. SZKOLNA 1/3;98-400;WIERUSZÓW;bd
157;UL. KOLEJOWA 3;18-218;SOKOŁY;bd
158;UL. RYNEK MICKIEWICZA 10;18-218;SOKOŁY;bd
159;UL. BRUSZEWO 44;18-218;SOKOŁY;bd
160;UL. BRUSZEWO 45;18-218;SOKOŁY;bd
161;UL. JEŃKI 44;18-218;SOKOŁY;bd
162;UL. KOLEJOWA 3;18-218;SOKOŁY;bd
163;UL. KOLEJOWA 3;18-218;SOKOŁY;bd
164;UL. KOŚCIELNA 5;18-218;SOKOŁY;bd
165;UL. RYNEK MICKIEWICZA 10;18-218;SOKOŁY;bd
166;UL. RYNEK MICKIEWICZA 1;18-218;SOKOŁY;bd
167;UL. RYNEK MICKIEWICZA 10;18-218;SOKOŁY;bd
168;UL. RYNEK MICKIEWICZA 4;18-218;SOKOŁY;bd
169;AL. NIEPODLEGŁOŚCI 24;64-920;PIŁA;bd
170;AL. NIEPODLEGŁOŚCI 33/35;64-920;PIŁA;bd
171;AL. NIEPODLEGŁOŚCI 37;64-920;PIŁA;bd
172;UL. 11 LISTOPADA 40;64-920;PIŁA;bd
173;UL. CEGLANA 2-4;64-920;PIŁA;bd
174;UL. CEGLANA 4;64-920;PIŁA;bd
175;UL. CHLEBNO 8;89-310;ŁOBŻENICA;bd
176;UL. DĘBNO 27;89-310;ŁOBŻENICA;bd
177;UL. FALMIEROWO 1;89-311;WYRZYSK;bd
178;UL. GEN. SIKORSKIEGO 73;64-920;PIŁA;bd
179;UL. KILIŃSKIEGO 16;64-920;PIŁA;bd
180;UL. MŁODYCH 78;64-920;PIŁA;bd
181;UL. NIEPODLEGŁOŚCI 37;64-920;PIŁA;bd
182;UL. OKRZEI 9;64-920;PIŁA;bd
183;UL. OKRZEI 9 - 9/2;64-920;PIŁA;bd
184;UL. POLA 11;64-920;PIŁA;bd
185;UL. POWSTAŃCÓW WLKP. 18;64-920;PIŁA;bd
186;UL. RYDYGERA 23;64-920;PIŁA;bd
187;UL. RYDYGIERA 23;64-920;PIŁA;bd
188;UL. RZADKOWO 79;64-810;KACZORY;bd
189;UL. SIKORSKIEGO 18A-19;64-920;PIŁA;bd
190;UL. SIKORSKIEGO 73;64-920;PIŁA;bd
191;UL. STAROMIEJSKA 14;64-920;PIŁA;bd
192;UL. ŚNIADECKICH 27;64-920;PIŁA;bd
193;UL. TEATRALNA 1;64-920;PIŁA;bd
194;UL. WIEJSKA 1;89-300;WYRZYSK;bd
195;UL. BYCZYŃSKA 9;46-310;GORZÓW ŚLĄSKI;bd
196;UL. DĘBOWA 3;46-300;OLESNO;bd
197;UL. DĘBOWA 3;46-300;OLESNO;bd
198;UL. DŁUGA 37;46-300;SOWCZYCE;bd
199;UL. DŁUGA 37;46-300;SOWCZYCE;bd
200;UL. DWORCOWA 4;46-300;OLESNO;bd
201;UL. KALISKA 38;46-320;PRASZKA;bd
202;UL. KONOPNICKIEJ 8;46-300;OLESNO;bd
203;UL. KOSSAKA 5;46-300;OLESNO;bd
204;UL. MARII KONOPNICKIEJ 8;46-300;OLESNO;bd
205;UL. OLESKA 7;46-380;DOBRODZIEŃ;bd
206;UL. PIASTOWSKA 35;46-380;DOBRODZIEŃ;bd
207;UL. PIELOKA 21;46-300;OLESNO;bd
208;UL. PIELOKA 21;46-300;OLESNO;bd
209;UL. POWSTAŃCÓW ŚLĄSKICH 4;46-300;OLESNO;bd
210;UL. POWSTAŃCÓW ŚLĄSKICH, DĘBOWA 3 4;46-300;OLESNO;bd
211;UL. SĄDOWA 2;46-300;OLESNO;bd
212;UL. SPORTOWA 8;46-320;PRASZKA;bd
213;UL. WIELKIE PRZEDMIEŚCIE 41;46-300;OLESNO;bd
214;UL. ŻWIROWA 1;46-048;RADAWIE;bd
215;ANTOLKA 13;32-210;KSIĄŻ WIELKI;bd
216;KSIĄŻ MAŁY 59;32-210;KSIĄŻ WIELKI;bd
217;RZĘDOWICE 69;32-210;KSIĄŻ WIELKI;bd
218;UL. MIKOŁAJA REJA 4;32-210;KSIĄŻ WIELKI;bd
219;UL. MIKOŁAJA REJA 4;32-210;KSIĄŻ WIELKI;bd
220;UL. MIKOŁAJA REJA 4;32-210;KSIĄŻ WIELKI;bd
221;UL. WARSZAWSKA 17;32-210;KSIĄŻ WIELKI;bd
222;UL. WARSZAWSKA 17;32-210;KSIĄŻ WIELKI;bd
223;UL. WARSZAWSKA 17;32-210;KSIĄŻ WIELKI;bd
224;UL. DĘBOWA 3;46-300;OLESNO;bd
225;UL. POWSTAŃCÓW ŚLĄSKICH 4;46-300;OLESNO;bd
226;UL. POWSTAŃCÓW ŚLĄSKICH, DĘBOWA 3 4;46-300;OLESNO;bd
227;PL. ADAMA MICKIEWICZA 25;12-230;BIAŁA PISKA;bd
228;UL. BEMA 1A;12-230;BIAŁA PISKA;bd
229;UL. KAJKI 1;12-230;BIAŁA PISKA;bd
230;UL. KOŻUCHY 35;12-230;KOŻUCHY;bd
231;UL. KUMIELSK 2;12-230;KUMIELSK;bd
232;UL. MARII KONOPNICKIEJ 4;12-230;BIAŁA PISKA;bd
233;UL. MONIUSZKI 7;12-230;BIAŁA PISKA;bd
234;UL. MONIUSZKI 7;12-230;BIAŁA PISKA;bd
235;UL. OGRODOWA 1;12-230;BIAŁA PISKA;bd
236;UL. SKARŻYN 19;12-230;SKARŻYN;bd
237;UL. SZKOLNA 2;12-230;DRYGAŁY;bd
238;UL. WŁADYSŁAWA SIKORSKIEGO 4;12-230;BIAŁA PISKA;bd
239;UL. WŁADYSŁAWA SIKORSKIEGO 4;12-230;BIAŁA PISKA;bd
240;DOBRYŃ DUŻY 68;21-512;ZALESIE;bd
241;WÓLKA DOBRYŃSKA 57;21-512;ZALESIE;bd
242;UL. SŁONECZNA 1;21-512;ZALESIE;bd
243;UL. SŁONECZNA 1;21-512;ZALESIE;bd
244;UL. SZKOLNA 10;21-512;ZALESIE;bd
245;UL. WARSZAWSKA 34;21-512;ZALESIE;bd
246;UL. WARSZAWSKA 34;21-512;ZALESIE;bd
247;UL. WARSZAWSKA 34;21-512;ZALESIE;bd
248;UL. WARSZAWSKA 34;21-512;ZALESIE;bd
249;UL. FABRYCZNA 6;05-430;CELESTYNÓW;bd
250;UL. OSTRÓW 15;05-430;CELESTYNÓW;bd
251;UL. OSTRÓW 15;05-430;CELESTYNÓW;bd
252;UL. REGUCKA 1;05-430;CELESTYNÓW;bd
253;UL. REGUCKA 3;05-430;CELESTYNÓW;bd
254;UL. REGUCKA 5;05-430;CELESTYNÓW;bd
255;UL. SZKOLNA 2;05-430;CELESTYNÓW;bd
256;UL. WIATRACZNA 13;05-430;CELESTYNÓW;bd
257;UL. WRZOSOWA 42;05-430;CELESTYNÓW;bd
258;UL. GŁÓWNA 11;18-204;KOBYLIN-BORZYMY;bd
259;UL. GŁÓWNA 11;18-204;KOBYLIN-BORZYMY;bd
260;UL. GŁÓWNA 11;18-204;KOBYLIN-BORZYMY;bd
261;UL. GŁÓWNA 11;18-204;KOBYLIN-BORZYMY;bd
262;UL. LIPOWA 17;18-204;KOBYLIN-BORZYMY;bd
263;UL. BRZOZIE LUBAWSKIE 43A;13-306;KURZĘTNIK;bd
264;UL. DWORCOWA 8;13-306;KURZĘTNIK;bd
265;UL. GRUNWALDZKA 37;13-306;KURZĘTNIK;bd
266;UL. GRUNWALDZKA 39;13-306;KURZĘTNIK;bd
267;UL. KOŚCIUSZKI 17;13-306;KURZĘTNIK;bd
268;UL. KOŚCIUSZKI 23;13-306;KURZĘTNIK;bd
269;UL. KOŚCIUSZKI 36;13-306;KURZĘTNIK;bd
270;UL. MIERZĘCICE, SZKOLNA 21;13-306;KURZĘTNIK;bd
271;UL. TERESZEWO 9A;13-306;KURZĘTNIK;bd
272;UL. WOJSKA POLSKIEGO 12A;13-306;KURZĘTNIK;bd
273;UL. 11 LISTOPADA 9;87-600;LIPNO;bd
274;UL. MICKIEWICZA 58;87-600;LIPNO;bd
275;UL. NIESZAWSKA 8;87-600;LIPNO;bd
276;UL. NOWA WIEŚ 1;87-603;WIELGIE;bd
277;UL. OKRZEI 3;87-600;LIPNO;bd
278;UL. OKRZEI 4;87-600;LIPNO;bd
279;UL. OKRZEI 7;87-600;LIPNO;bd
280;UL. SIERAKOWSKIEGO 10B;87-600;LIPNO;bd
281;UL. SZKOLNA 5;87-610;DOBRZYŃ NAD WISŁĄ;bd
282;UL. TRAUGUTTA 1;87-600;LIPNO;bd
283;UL. WOJSKA POLSKIEGO 8;87-600;LIPNO;bd
284;UL. WYMYŚLIŃSKA 2;87-630;SKĘPE;bd
285;GÓRNICZA 92;42-421;RUDNIKI;bd
286;UL. CIECIUŁKÓW 19;46-325;RUDNIKI;bd
287;UL. DALACHÓW 217;46-325;RUDNIKI;bd
288;UL. MIROWSZCZYZNA 43;46-325;RUDNIKI;bd
289;UL. OKÓLNA 2;46-325;RUDNIKI;bd
290;UL. WIELUŃSKA 4;46-325;RUDNIKI;bd
291;UL. WIELUŃSKA 6;46-325;RUDNIKI;bd
292;UL. WIELUŃSKA 6;46-325;RUDNIKI;bd
293;UL. WIELUŃSKA 6;46-325;RUDNIKI;bd
294;UL. WOJSKA POLSKIEGO 12;46-325;RUDNIKI;bd
295;UL. WOJSKA POLSKIEGO 12A;46-325;RUDNIKI;bd
296;UL. ŻYTNIÓW 29;46-325;RUDNIKI;bd
297;UL. CHOTÓW 94B;98-345;MOKRSKO;bd
298;UL. KOMORNIKI 126;98-345;MOKRSKO;bd
299;UL. KOMORNIKI 36A;98-345;MOKRSKO;bd
300;UL. KOMORNIKI 7A;98-345;MOKRSKO;bd
301;UL. KRZYWORZEKA 166;98-345;MOKRSKO;bd
302;UL. KRZYWORZEKA 168;98-345;MOKRSKO;bd
303;UL. MOKRSKO 155;98-345;MOKRSKO;bd
304;UL. MOKRSKO 231;98-345;MOKRSKO;bd
305;UL. MOKRSKO 233;98-345;MOKRSKO;bd
306;UL. MOKRSKO 254;98-345;MOKRSKO;bd
307;UL. OŻARÓW 142;98-345;MOKRSKO;bd
308;UL. OŻARÓW 2;98-345;MOKRSKO;bd
309;UL. SŁUPSKO 29A;98-345;MOKRSKO;bd
310;UL. SŁUPSKO 2A;98-345;MOKRSKO;bd
311;GRONOWO 5;87-162;LUBICZ DOLNY;bd
312;UL. PIASKOWA 2;87-162;LUBICZ GÓRNY;bd
313;UL. PIASKOWA 23;87-162;LUBICZ DOLNY;bd
314;UL. PIASKOWA 24 , TORUŃSKA 24 24;87-162;LUBICZ DOLNY;bd
315;UL. POMORSKA 11;87-162;LUBICZ DOLNY;bd
316;UL. SZKOLNA 4;87-122;GRĘBOCIN;bd
317;UL. SZKOLNA 7;87-162;LUBICZ DOLNY;bd
318;UL. TORUŃSKA 10;87-162;LUBICZ DOLNY;bd
319;UL. TORUŃSKA 12B;87-162;LUBICZ DOLNY;bd
320;UL. TORUŃSKA 21;87-162;LUBICZ DOLNY;bd
321;UL. TORUŃSKA 21;87-162;LUBICZ DOLNY;bd
322;UL. TORUŃSKA 56;87-162;LUBICZ DOLNY;bd
323;CEPLICE 16;98-290;CIEPLICE;bd
324;JAKUBICE 15A;98-290;JAKUBICE;bd
325;JEZIORSKO 43;98-290;JEZIORSKO;bd
326;RACZKÓW 23B;98-290;RACZKÓW;bd
327;USTKÓW 26;98-290;USTKÓW;bd
328;WŁYŃ 10;98-290;WŁYŃ;bd
329;UL. GARNCARSKA 18;98-290;WARTA;bd
330;UL. KOŻMIŃSKA 11;98-290;WARTA;bd
331;UL. KOŻMIŃSKA 11;98-290;WARTA;bd
332;UL. KOŻMIRSKA 11;98-290;WARTA;bd
333;UL. RYNEK REYMONTA 1;98-290;WARTA;bd
334;UL. RYNEK REYMONTA 1;98-290;WARTA;bd
335;UL. SIERADZKA 7;98-290;ROSSORZYCA;bd
336;UL. SKARŻYŃSKIEGO 12;98-290;WARTA;bd
337;UL. TADEUSZ KOŚCIUSZKI 9/11;98-290;WARTA;bd
338;ELGNÓWKO 27;11-015;ELGNÓWKO;bd
339;WAPLEWO 15;11-015;WAPLEWO;bd
340;UL. CHOPINA 29;11-015;OLSZTYNEK;bd
341;UL. GÓRNA 5;11-015;OLSZTYNEK;bd
342;UL. GÓRNA 5;11-015;OLSZTYNEK;bd
343;UL. KRÓLIKOWO 21;11-015;KRÓLIKOWO;bd
344;UL. NIEPODLEGŁOŚCI 19;11-015;OLSZTYNEK;bd
345;UL. OSTRÓDZKA 2;11-015;OLSZTYNEK;bd
346;UL. RATUSZ 1;11-015;OLSZTYNEK;bd
347;UL. RATUSZ 1;11-015;OLSZTYNEK;bd
348;UL. RATUSZ 1;11-015;OLSZTYNEK;bd
349;UL. RYNEK 1;11-015;OLSZTYNEK;bd
350;UL. SZKOLNA 9;11-015;OLSZTYNEK;bd
351;UL. SZKOLNA 9 A;11-015;OLSZTYNEK;bd
352;UL. LEŚNA 1;23-110;KRZCZONÓW-WÓJTOSTWO;bd
353;UL. LEŚNA 1;23-110;KRZCZONÓW-WÓJTOSTWO;bd
354;UL. SPOKOJNA 7;23-110;KRZCZONÓW-WÓJTOSTWO;bd
355;UL. SPOKOJNA 7;23-110;KRZCZONÓW-WÓJTOSTWO;bd
356;UL. SPOKOJNA 7;23-110;KRZCZONÓW-WÓJTOSTWO;bd
357;UL. ŻEROMSKIEGO 8;23-110;KRZCZONÓW-WÓJTOSTWO;bd
358;BARCZ 1;26-700;BARCZ;bd
359;PACIORKOWA WOLA NOWA 63;26-700;PACIORKOWA WOLA;bd
360;SYCYNA -KOLONIA 125;26-700;SYCYNA-KOLONIA;bd
361;PL. KOCHANOWSKIEGO 1;26-700;ZWOLEŃ;bd
362;PL. KOCHANOWSKIEGO 1;26-700;ZWOLEŃ;bd
363;UL. JANA PAWŁA II 6 A;26-700;ZWOLEŃ;bd
364;UL. JANA PAWŁA II 6;26-700;ZWOLEŃ;bd
365;UL. KARD. WYSZYŃSKIEGO 30;26-700;ZWOLEŃ;bd
366;UL. KOŚCIUSZKI 11;26-700;ZWOLEŃ;bd
367;UL. LUDOWA 35;26-700;ZWOLEŃ;bd
368;UL. PLAC KOCHANOWSKIEGO 1;26-700;ZWOLEŃ;bd
369;BOGUSZYCE 102A;56-400;BOGUSZYCE;bd
370;UL. 11 LISTOPADA 24;56-400;OLEŚNICA;bd
371;UL. 11-LISTOPADA 24;56-400;OLEŚNICA;bd
372;UL. BOGUSZYCE 118A;56-400;OLEŚNICA;bd
373;UL. LIGOTA MAŁA 15;56-400;OLEŚNICA;bd
374;UL. LIGOTA POLSKA 3;56-400;OLEŚNICA;bd
375;UL. SMOLNA 70;56-400;OLEŚNICA;bd
376;UL. SOKOŁOWICE 24;56-400;OLEŚNICA;bd
377;UL. WILEŃSKA 32A;56-400;OLEŚNICA;bd
378;UL. WILEŃSKA 32A;56-400;OLEŚNICA;bd
379;UL. WILEŃSKA 32A;56-400;OLEŚNICA;bd
380;UL. WOJSKA POLSKIEGO 78;56-400;OLEŚNICA;bd
381;UL. WSZECHŚWIETE 16B;56-400;OLEŚNICA;bd
382;GROTA ROWECKIEGO 1;11-200;BARTOSZYCE;bd
383;UL. TOLKO 28;11-200;BARTOSZYCE;bd
384;11 LISTOPADA 7;11-200;BARTOSZYCE;bd
385;BOH. MONTE CASSINO 4;11-200;BARTOSZYCE;bd
386;BPH. MONTE CASSINO 9;11-200;BARTOSZYCE;bd
387;DĄBROWA 56A;11-200;BARTOSZYCE;bd
388;GROTA ROWECKIEGO 1;11-200;BARTOSZYCE;bd
389;LIMANOWSKIEGO 10;11-200;BARTOSZYCE;bd
390;LIMANOWSKIEGO 11;11-200;BARTOSZYCE;bd
391;LIMANOWSKIEGO 12;11-200;BARTOSZYCE;bd
392;LIMANOWSKIEGO 13;11-200;BARTOSZYCE;bd
393;LIMANOWSKIEGO 9;11-200;BARTOSZYCE;bd
394;NIEPODLEGŁOŚCI 7;11-230;BISZTYNEK;bd
395;OBROŃCÓW WESTERPLATTE 10;11-220;GÓROWO IŁAWECKIE;bd
396;SŁOWACKIEGO 1;11-200;BARTOSZYCE;bd
397;SZCZURKOWO 25;11-210;SĘPOPOL;bd
398;WYSZYŃSKIEGO 0;11-200;BARTOSZYCE;bd
399;UL. BOHATERÓW WARSZAWY 6;11-200;BARTOSZYCE;bd
400;UL. LIMANOWSKIEGO 12/4;11-200;BARTOSZYCE;bd
401;UL. LIMANOWSKIEGO 12/7;11-200;BARTOSZYCE;bd
402;UL. TOLKO 28;11-200;BARTOSZYCE;bd
403;UL. 20 PAŹDZIERNIKA 2;63-000;ŚRODA WIELKOPOLSKA;bd
404;UL. 20 PAŹDZIERNIKA 30;63-000;ŚRODA WIELKOPOLSKA;bd
405;UL. DASZYŃSKIEGO 5;63-000;ŚRODA WIELKOPOLSKA;bd
406;UL. DĄBROWSKIEGO 50;63-000;ŚRODA WIELKOPOLSKA;bd
407;UL. GÓRKI 5;63-000;ŚRODA WIELKOPOLSKA;bd
408;UL. KOSZUTY 27;63-000;ŚRODA WIELKOPOLSKA;bd
409;UL. PLAC ZAMKOWY 1;63-000;ŚRODA WIELKOPOLSKA;bd
410;UL. PLAC ZAMKOWY 7;63-000;ŚRODA WIELKOPOLSKA;bd
411;UL. SŁUPIA WIELKA 28;63-022;SŁUPIA WIELKA;bd
412;UL. SPORTOWA 9C;63-000;ŚRODA WIELKOPOLSKA;bd
413;UL. STARKÓWIEC PIĄTKOWSKI 2B;63-013;SZLACHCIN;bd
414;UL. CISOWA 12;83-047;PRZYWIDZ;bd
