Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2;Nr_Wojewodztwa
120;07.07.2021;06.07.2022;310000;TAK;Jana Kochanowskiego 2;57-320;Polanica-Zdrój;Dolnośląskie;Polska;1,2;NA;50.40039445;16.507704591540666;1;0;1;
121;20.04.2021;19.04.2022;3,00E+05;TAK;Słomiana 13;30-316;Kraków;Małopolskie;Polska;1,2;NA;50.0419707;19.92724277209916;1;0;6;
122;12.07.2021;11.07.2022;110000;TAK;Rudłowo 8;14-500;Rudłowo;Warmińsko-Mazurskie;Polska;1,2;NA;54.37074145;19.831774383054437;3;0;11;
123;06.07.2021;05.07.2022;160000;TAK;Wodniaków 5;08-101;Siedlce;Mazowieckie;Polska;1,2;NA;52.1569808;22.241996852340595;1;0;5;
124;01.07.2021;30.06.2022;180000;TAK;Parkowa 3;88-180;Złotniki Kujawskie;Kujawsko-Pomorskie;Polska;1,2;NA;52.91137035;18.14326562745898;1;0;2;
125;24.07.2021;23.07.2022;730000;TAK;Obrzeżna 1C;02-691;Warszawa;Mazowieckie;Polska;1,2;NA;52.1715307;20.9982946;1;0;5;
126;01.07.2021;30.06.2022;210000;TAK;Marii Skłodowskiej-Curie 18;26-300;Opoczno;Świętokrzyskie;Polska;1,2;NA;51.3807871;20.282682814070867;1;0;16;
127;09.07.2021;08.07.2022;1030000;TAK;Spacerowa 12;32-095;Narama;Małopolskie;Polska;1,2;NA;50.184755;19.9269885;1;0;6;
128;07.07.2021;06.07.2022;315000;TAK;Słoneczna 3;84-312;Cewice;Pomorskie;Polska;1,2;NA;54.43540485;17.7382993994823;1;0;10;
129;01.07.2021;30.06.2022;210000;TAK;Blacharska 1;02-660;Warszawa;Mazowieckie;Polska;1,2;NA;52.1763245;21.0165662;1;0;5;
130;01.07.2021;30.06.2022;5,00E+05;TAK;Słoneczna 2;66-600;Bielów;Lubuskie;Polska;1,2;NA;52.09274;15.08507;1;0;4;
131;04.07.2021;03.07.2022;1020000;TAK;Białołęcka 372a;03-253;Warszawa;Mazowieckie;Polska;1,2;NA;52.338127799999995;21.03567550910942;1;0;5;
132;01.07.2021;30.06.2022;210000;TAK;Bałtycka 32;61-017;Poznań;Wielkopolskie;Polska;1,2;NA;52.4260265;16.9770855;1;0;12;
133;26.07.2021;25.07.2022;315000;TAK;Ostrobramska 83b;04-175;Warszawa;Mazowieckie;Polska;1,2;NA;52.2346714;21.0976177;1;0;5;
134;01.07.2021;30.06.2022;160000;TAK;Bałtycka 32;61-017;Poznań;Wielkopolskie;Polska;1,2;NA;52.4260265;16.9770855;1;0;12;
135;01.07.2021;30.06.2022;359000;TAK;Powiercie 161;62-600;Powiercie;Wielkopolskie;Polska;1,2;NA;52.1835642;18.6863881;3;0;12;
136;01.07.2021;30.06.2022;460000;TAK;Na Górce 35;11-730;Mikołajki;Warmińsko-Mazurskie;Polska;1,2;NA;53.7973144;21.5621646;1;0;11;
137;06.07.2021;05.07.2022;510000;TAK;Ulesie 18i;59-222;Ulesie;Dolnośląskie;Polska;1,2;NA;51.2225127;16.1121685;3;0;1;
138;06.12.2021;05.12.2022;419000;TAK;Aleksandra Prystora 4A;02-497;Warszawa;Mazowieckie;Polska;1,2;NA;52.18851855;20.908779386479786;1;0;5;
139;12.07.2021;11.07.2022;3,00E+05;TAK;Jagodowa 16;43-418;Brzezówka;Śląskie;Polska;1,2;NA;49.80700684999999;18.617558449999997;1;0;15;
140;24.03.2021;23.03.2022;7,00E+05;TAK;Kępna 2B;03-730;Warszawa;Mazowieckie;Polska;1,2;NA;52.2487779;21.036935617792658;1;0;5;
141;08.04.2021;07.04.2022;2,00E+05;TAK;Gustawa Morcinka 21;44-284;Pstrążna;Śląskie;Polska;1,2;NA;50.08863025;18.34653738467446;1;0;15;
142;02.07.2021;01.07.2022;4,00E+05;TAK;Annobór-Kolonia 14;21-100;Annobór-Kolonia;Lubelskie;Polska;1,2;NA;51.43536025;22.588655366455143;3;0;3;
143;27.04.2021;26.04.2022;2,00E+05;TAK;Trzebińska 25;32-540;Młoszowa;Małopolskie;Polska;1,2;NA;50.1558068;19.4883664374714;1;0;6;
144;25.07.2021;24.07.2022;520000;TAK;Grzegórzecka 85;31-559;Kraków;Małopolskie;Polska;1,2;NA;50.0582946;19.9706805;1;0;6;
145;25.11.2021;24.11.2022;450000;TAK;Alfreda Nobla 27;03-930;Warszawa;Mazowieckie;Polska;1,2;NA;52.234650349999995;21.057874834944094;1;0;5;
146;16.07.2021;15.07.2022;170000;TAK;Ks. Piotra Ściegiennego 40;70-354;Szczecin;Zachodniopomorskie;Polska;1,2;NA;53.43166985;14.53098134578066;1;0;13;
147;04.07.2021;03.07.2022;4,00E+05;TAK;Kajetana Koźmiana 2;01-606;Warszawa;Mazowieckie;Polska;1,2;NA;52.271361999999996;20.992977863432326;1;0;5;
148;09.07.2021;08.07.2022;595000;TAK;Fabryczna 13;95-020;Andrespol;Łódzkie;Polska;1,2;NA;51.7291296;19.6377307;1;0;14;
149;04.07.2021;03.07.2022;370000;TAK;Rodzinna 7;80-297;Banino;Pomorskie;Polska;1,2;NA;54.38977295;18.385583114480205;1;0;10;
150;20.07.2021;19.07.2022;335000;TAK;Orzycka 18;02-695;Warszawa;Mazowieckie;Polska;1,2;NA;52.17610655;21.004301424954924;1;0;5;
151;02.07.2021;01.07.2022;215000;TAK;Nowolipki 13;00-151;Warszawa;Mazowieckie;Polska;1,2;NA;52.245884;20.9954589;1;0;5;
152;02.07.2021;01.07.2022;110000;TAK;Pana Wołodyjowskiego 3;20-627;Lublin;Lubelskie;Polska;1,2;NA;51.2382327;22.512623711387853;1;0;3;
153;07.07.2021;06.07.2022;231760;TAK;Morska 43;81-323;Gdynia;Pomorskie;Polska;1,2;NA;54.5222386;18.5235039;1;0;10;
154;01.04.2021;31.03.2022;440000;TAK;Beskidzka 16;43-450;Ustroń;Śląskie;Polska;1,2;NA;49.7342424;18.7967485;1;0;15;
155;02.07.2021;01.07.2022;260000;TAK;Grunwaldzka 9;32-020;Wieliczka;Małopolskie;Polska;1,2;NA;49.9880421;20.075473001042788;1;0;6;
156;07.07.2021;06.07.2022;358480;TAK;Morska 45;81-323;Gdynia;Pomorskie;Polska;1,2;NA;54.5222911;18.5233666;1;0;10;
157;02.07.2021;01.07.2022;4,00E+05;TAK;Akacjowa 10;59-724;Osiecznica;Dolnośląskie;Polska;1,2;NA;51.3350008;15.412971154373368;1;0;1;
158;02.07.2021;01.07.2022;3,00E+05;TAK;Łąkowa 6;42-520;Dąbrowa Górnicza;Śląskie;Polska;1,2;NA;50.3788128;19.255205170111733;1;0;15;
159;21.03.2021;20.03.2022;1,00E+05;TAK;Jabłeczna 10;50-539;Wrocław;Dolnośląskie;Polska;1,2;NA;51.0806663;17.036179;1;0;1;
160;02.07.2021;01.07.2022;180000;TAK;Łużycka 63;30-658;Kraków;Małopolskie;Polska;1,2;NA;50.0118219;19.97193059972322;1;0;6;
161;10.07.2021;09.07.2022;326800;TAK;Romana Maya 35A;64-500;Szamotuły;Wielkopolskie;Polska;1,2;NA;52.5989228;16.601303120871428;1;0;12;
162;02.07.2021;01.07.2022;1030000;TAK;Lazurowa 25;06-413;Ciechanów;Mazowieckie;Polska;1,2;NA;52.87967885;20.63905987119225;1;0;5;
163;15.06.2021;14.06.2022;240000;TAK;Robotnicza 17A;44-100;Gliwice;Śląskie;Polska;1,2;NA;50.289460;18.698259;1;1;15;
